"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.253277900E-2,-8.269500136E-1,5.122950077E0,7.575000286E0,9.181998320E0
4.502673800E-2,-8.650500178E-1,5.142000198E0,7.594050407E0,9.211844504E0
4.752070300E-2,-8.460000157E-1,5.122950077E0,7.594050407E0,9.199452979E0
5.001414100E-2,-8.650500178E-1,5.161950111E0,7.612950325E0,9.238563370E0
5.250756400E-2,-8.460000157E-1,5.142000198E0,7.594050407E0,9.210075117E0
5.500214100E-2,-8.650500178E-1,5.161950111E0,7.612950325E0,9.238563370E0
5.749671800E-2,-8.460000157E-1,5.142000198E0,7.594050407E0,9.210075117E0
5.998983100E-2,-8.650500178E-1,5.161950111E0,7.612950325E0,9.238563370E0
6.248294800E-2,-8.269500136E-1,5.142000198E0,7.594050407E0,9.208344800E0
6.497617400E-2,-8.460000157E-1,5.161950111E0,7.594050407E0,9.221228040E0
6.746936700E-2,-8.080500364E-1,5.142000198E0,7.537050247E0,9.159707273E0
6.996336600E-2,-8.269500136E-1,5.161950111E0,7.537050247E0,9.172606048E0
7.245736700E-2,-7.890000343E-1,5.142000198E0,7.498050213E0,9.125976336E0
7.494905700E-2,-8.080500364E-1,5.161950111E0,7.498050213E0,9.138896586E0
7.744075000E-2,-7.890000343E-1,5.142000198E0,7.459950447E0,9.094698883E0
7.993419400E-2,-8.080500364E-1,5.161950111E0,7.441050529E0,9.092189329E0
8.242761700E-2,-7.890000343E-1,5.142000198E0,7.384050369E0,9.032545984E0
8.491865300E-2,-8.080500364E-1,5.161950111E0,7.363950253E0,9.029199141E0
8.740969400E-2,-7.890000343E-1,5.142000198E0,7.326000214E0,8.985152543E0
8.990138700E-2,-8.080500364E-1,5.161950111E0,7.326000214E0,8.998274998E0
9.239307800E-2,-7.890000343E-1,5.142000198E0,7.288050175E0,8.954237122E0
9.488668400E-2,-8.080500364E-1,5.161950111E0,7.288050175E0,8.967404818E0
9.738026100E-2,-7.890000343E-1,5.142000198E0,7.249050140E0,8.922522907E0
9.987426000E-2,-8.080500364E-1,5.161950111E0,7.269000530E0,8.951929542E0
1.023682610E-1,-7.890000343E-1,5.142000198E0,7.249050140E0,8.922522907E0
1.048607210E-1,-8.460000157E-1,5.161950111E0,7.269000530E0,8.955434869E0
1.073531840E-1,-8.269500136E-1,5.142000198E0,7.249050140E0,8.925958789E0
1.098464300E-1,-8.650500178E-1,5.161950111E0,7.269000530E0,8.957254557E0
1.123396590E-1,-8.460000157E-1,5.142000198E0,7.269000530E0,8.943950513E0
1.148336210E-1,-8.650500178E-1,5.161950111E0,7.306950569E0,8.988079167E0
1.173275840E-1,-8.460000157E-1,5.161950111E0,7.306950569E0,8.986265720E0
1.198208130E-1,-8.650500178E-1,5.181000233E0,7.345050335E0,9.029996643E0
1.223140440E-1,-8.460000157E-1,5.161950111E0,7.326000214E0,9.001762278E0
1.248069720E-1,-8.650500178E-1,5.181000233E0,7.345050335E0,9.029996643E0
1.272998950E-1,-8.460000157E-1,5.161950111E0,7.326000214E0,9.001762278E0
1.297943950E-1,-8.650500178E-1,5.181000233E0,7.345050335E0,9.029996643E0
