"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.673920400E-2,2.260500044E-1,-9.000000544E-3,9.490950584E0,9.493646433E0
3.920722800E-2,2.639999986E-1,-2.805000171E-2,9.471000671E0,9.474720920E0
4.167528100E-2,2.639999986E-1,-9.000000544E-3,9.490950584E0,9.494625848E0
4.414451800E-2,3.019500077E-1,-2.805000171E-2,9.471000671E0,9.475854280E0
4.661374300E-2,2.830500007E-1,-9.000000544E-3,9.490950584E0,9.495174632E0
4.908356400E-2,3.019500077E-1,-2.805000171E-2,9.471000671E0,9.475854280E0
5.155337300E-2,2.830500007E-1,-9.000000544E-3,9.490950584E0,9.495174632E0
5.402044800E-2,3.019500077E-1,-2.805000171E-2,9.471000671E0,9.475854280E0
5.648752700E-2,2.830500007E-1,-9.000000544E-3,9.490950584E0,9.495174632E0
5.895583500E-2,3.019500077E-1,-2.805000171E-2,9.471000671E0,9.475854280E0
6.142414200E-2,2.830500007E-1,-9.000000544E-3,9.490950584E0,9.495174632E0
6.389183800E-2,3.019500077E-1,-2.805000171E-2,9.471000671E0,9.475854280E0
6.635953100E-2,2.830500007E-1,-9.000000544E-3,9.490950584E0,9.495174632E0
6.882818600E-2,3.019500077E-1,-2.805000171E-2,9.471000671E0,9.475854280E0
7.129683900E-2,2.830500007E-1,-9.000000544E-3,9.490950584E0,9.495174632E0
7.376464600E-2,2.830500007E-1,-2.805000171E-2,9.471000671E0,9.475270857E0
7.623245500E-2,2.639999986E-1,-9.000000544E-3,9.490950584E0,9.494625848E0
7.869911700E-2,3.019500077E-1,-2.805000171E-2,9.471000671E0,9.475854280E0
8.116577200E-2,2.830500007E-1,-2.805000171E-2,9.490950584E0,9.495211799E0
8.363131000E-2,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
8.609684900E-2,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
8.856404200E-2,3.019500077E-1,-4.695000127E-2,9.471000671E0,9.475929075E0
9.103123300E-2,2.830500007E-1,-2.805000171E-2,9.490950584E0,9.495211799E0
9.349974300E-2,3.019500077E-1,-4.695000127E-2,9.471000671E0,9.475929075E0
9.596824400E-2,2.830500007E-1,-2.805000171E-2,9.490950584E0,9.495211799E0
9.843697300E-2,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
1.009057040E-1,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
1.033735880E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.058414730E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.083086700E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.107758630E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.132427860E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.157097090E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.181779020E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.206460930E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.231163680E-1,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
1.255866370E-1,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
1.280557120E-1,3.019500077E-1,-4.695000127E-2,9.471000671E0,9.475929075E0
1.305247910E-1,2.830500007E-1,-2.805000171E-2,9.490950584E0,9.495211799E0
1.329955610E-1,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
1.354663300E-1,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
1.379361690E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.404060160E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.428748240E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.453436310E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.478130170E-1,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
1.502824020E-1,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
1.527524300E-1,3.019500077E-1,-4.695000127E-2,9.471000671E0,9.475929075E0
1.552224310E-1,2.830500007E-1,-2.805000171E-2,9.490950584E0,9.495211799E0
1.576918140E-1,3.019500077E-1,-4.695000127E-2,9.471000671E0,9.475929075E0
1.601611990E-1,2.830500007E-1,-2.805000171E-2,9.490950584E0,9.495211799E0
1.626301230E-1,3.019500077E-1,-4.695000127E-2,9.471000671E0,9.475929075E0
1.650990460E-1,2.830500007E-1,-2.805000171E-2,9.490950584E0,9.495211799E0
1.675681420E-1,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
1.700372190E-1,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
1.725074880E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.749777570E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.774480640E-1,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
1.799183730E-1,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
1.823875000E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.848566170E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.873278490E-1,2.830500007E-1,-4.695000127E-2,9.471000671E0,9.475345657E0
1.897990780E-1,2.639999986E-1,-2.805000171E-2,9.490950584E0,9.494663017E0
1.922678080E-1,2.639999986E-1,-4.695000127E-2,9.471000671E0,9.474795724E0
1.947365410E-1,2.449500114E-1,-2.805000171E-2,9.490950584E0,9.494152427E0
1.972059550E-1,2.639999986E-1,-4.695000127E-2,9.451950073E0,9.455752772E0
1.996753380E-1,2.449500114E-1,-2.805000171E-2,9.471000671E0,9.474209256E0
2.021428750E-1,2.639999986E-1,-4.695000127E-2,9.451950073E0,9.455752772E0
2.046104160E-1,2.449500114E-1,-2.805000171E-2,9.471000671E0,9.474209256E0
2.070795320E-1,2.639999986E-1,-4.695000127E-2,9.451950073E0,9.455752772E0
2.095486470E-1,2.449500114E-1,-2.805000171E-2,9.471000671E0,9.474209256E0
2.120171310E-1,2.639999986E-1,-4.695000127E-2,9.433050156E0,9.436860471E0
2.144855940E-1,2.260500044E-1,-2.805000171E-2,9.451950073E0,9.454694368E0
2.169550940E-1,2.449500114E-1,-4.695000127E-2,9.433050156E0,9.436346753E0
2.194245930E-1,2.260500044E-1,-2.805000171E-2,9.451950073E0,9.454694368E0
2.218944390E-1,2.449500114E-1,-4.695000127E-2,9.433050156E0,9.436346753E0
2.243642860E-1,2.260500044E-1,-2.805000171E-2,9.451950073E0,9.454694368E0
2.268322550E-1,2.449500114E-1,-4.695000127E-2,9.433050156E0,9.436346753E0
2.293002560E-1,2.260500044E-1,-2.805000171E-2,9.451950073E0,9.454694368E0
2.317678340E-1,2.449500114E-1,-4.695000127E-2,9.433050156E0,9.436346753E0
2.342354110E-1,2.260500044E-1,-2.805000171E-2,9.451950073E0,9.454694368E0
2.367032570E-1,2.449500114E-1,-4.695000127E-2,9.433050156E0,9.436346753E0
2.391711020E-1,2.260500044E-1,-2.805000171E-2,9.451950073E0,9.454694368E0
2.416393910E-1,2.449500114E-1,-4.695000127E-2,9.433050156E0,9.436346753E0
2.441077000E-1,2.260500044E-1,-9.000000544E-3,9.451950073E0,9.454657043E0
2.465756600E-1,2.449500114E-1,-9.000000544E-3,9.433050156E0,9.436234246E0
2.490436230E-1,2.260500044E-1,2.805000171E-2,9.451950073E0,9.454694368E0
2.515111990E-1,2.449500114E-1,9.000000544E-3,9.433050156E0,9.436234246E0
2.539787760E-1,2.260500044E-1,2.805000171E-2,9.451950073E0,9.454694368E0
2.564478390E-1,2.449500114E-1,9.000000544E-3,9.433050156E0,9.436234246E0
2.589169160E-1,2.260500044E-1,2.805000171E-2,9.451950073E0,9.454694368E0
2.613869150E-1,2.449500114E-1,9.000000544E-3,9.433050156E0,9.436234246E0
2.638569160E-1,2.260500044E-1,2.805000171E-2,9.451950073E0,9.454694368E0
2.663247600E-1,2.449500114E-1,9.000000544E-3,9.433050156E0,9.436234246E0
2.687926090E-1,2.260500044E-1,2.805000171E-2,9.451950073E0,9.454694368E0
2.712616430E-1,2.449500114E-1,9.000000544E-3,9.433050156E0,9.436234246E0
2.737306800E-1,2.260500044E-1,2.805000171E-2,9.451950073E0,9.454694368E0
2.762000640E-1,2.449500114E-1,9.000000544E-3,9.433050156E0,9.436234246E0
2.786694490E-1,2.260500044E-1,9.000000544E-3,9.451950073E0,9.454657043E0
2.811385640E-1,2.449500114E-1,-9.000000544E-3,9.433050156E0,9.436234246E0
2.836076810E-1,2.260500044E-1,9.000000544E-3,9.451950073E0,9.454657043E0
2.860761270E-1,2.449500114E-1,-9.000000544E-3,9.433050156E0,9.436234246E0
2.885445880E-1,2.260500044E-1,9.000000544E-3,9.451950073E0,9.454657043E0
2.910127040E-1,2.639999986E-1,-9.000000544E-3,9.433050156E0,9.436747969E0
2.934808190E-1,2.449500114E-1,9.000000544E-3,9.451950073E0,9.455127799E0
2.959534750E-1,2.830500007E-1,-9.000000544E-3,9.433050156E0,9.437300119E0
2.984261260E-1,2.639999986E-1,9.000000544E-3,9.451950073E0,9.455640496E0
3.008951910E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.033642700E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.058333100E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.083023470E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.107722320E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.132421170E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.157097690E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.181774240E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.206477720E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.231181170E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.255874620E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.280568090E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.305237700E-1,2.830500007E-1,-9.000000544E-3,9.433050156E0,9.437300119E0
3.329907330E-1,2.639999986E-1,9.000000544E-3,9.451950073E0,9.455640496E0
3.354562320E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.379217330E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.403877330E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.428537320E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.453206940E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.477876550E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
3.502548850E-1,3.019500077E-1,-9.000000544E-3,9.433050156E0,9.437885889E0
3.527221160E-1,2.830500007E-1,9.000000544E-3,9.451950073E0,9.456191543E0
